Lucy Data Summary 20240120 13:17:21
 
Sample Name,Comments,DIC flag,TA flag,Analysis Type,Date (analysis),Time (analysis),Station,Cast,Niskin,Replicate (diff bottle),Repeat(same bottle),No. Of Repeats,Depth (m),CTD Temp (°C),Salinity,Phosphate (uMol/Kg),Silicate (uMol/Kg),Nitrate (uMol/Kg),DIC pipette volume (ml),DIC set end point (cpm),DIC pipette temp sample (°C),DIC background (cpm),DIC total time (s),DIC total counts,DIC cell Number (sequential),Sample Bottle temp (°C),TA pipette vol (ml),TA cell temp (°C),TA Acid Batch,TA Acid conc (Mol),TA Acid density (Kg/l)
0000_039_7_225_1_1, ,-999,-999,3,20240202,212846,0000,039,7,1,1,1,225,0,35,0,0,-999,21.8442,50,0,0,286,242368,9,24.47,96.7556,24.97,-999,-999,-999
0000_039_7_225_2_1, ,-999,-999,3,20240202,220634,0000,039,7,2,1,1,225,0,35,0,0,-999,21.8442,50,0,41,269,242599,9,24.52,96.7556,25.07,-999,-999,-999
0000_039_7_225_3_1, ,-999,-999,3,20240202,223259,0000,039,7,3,1,1,225,0,35,0,0,-999,21.8442,50,0,56,300,248139,9,24.42,96.7556,24.98,-999,-999,-999
0000_039_8_200_1_1, ,-999,-999,3,20240202,230153,0000,039,8,1,1,1,200,0,35,0,0,-999,21.8442,50,0,37,276,242534,9,24.39,96.7556,24.84,-999,-999,-999
0000_039_9_175_1_1, ,-999,-999,3,20240203,001349,0000,039,9,1,1,1,175,0,35,0,0,-999,21.8442,50,0,76,275,242470,9,24.42,96.7556,25.03,-999,-999,-999
0000_039_10_150_1_1, ,-999,-999,3,20240203,004035,0000,039,10,1,1,1,150,0,35,0,0,-999,21.8442,50,0,40,299,241865,9,24.39,96.7556,24.91,-999,-999,-999
0000_039_11_125_1_1, ,-999,-999,3,20240203,011044,0000,039,11,1,1,1,125,0,35,0,0,-999,21.8442,50,0,52,279,242147,9,24.83,96.7556,25.03,-999,-999,-999
0000_039_12_100_1_1, ,-999,-999,3,20240203,014122,0000,039,12,1,1,1,100,0,35,0,0,-999,21.8442,50,0,75,308,241742,9,24.52,96.7556,25.04,-999,-999,-999
0000_039_14_47_1_1, ,-999,-999,3,20240203,021023,0000,039,14,1,1,1,47,0,35,0,0,-999,21.8442,50,0,12,374,241487,9,24.66,96.7556,25.07,-999,-999,-999
0000_039_16_21_1_1, ,-999,-999,3,20240203,023835,0000,039,16,1,1,1,21,0,35,0,0,-999,21.8442,50,0,54,295,236986,9,24.91,96.7556,25.08,-999,-999,-999
0000_039_18_13_1_1, ,-999,-999,3,20240203,030717,0000,039,18,1,1,1,13,0,35,0,0,-999,21.8442,50,0,5,317,228337,9,24.39,96.7556,24.98,-999,-999,-999
0000_039_19_9_1_1, ,-999,-999,3,20240203,034245,0000,039,19,1,1,1,9,0,35,0,0,-999,21.8442,50,0,58,301,220589,9,24.39,96.7556,25.03,-999,-999,-999
0000_039_20_5_1_1, ,-999,-999,3,20240203,040416,0000,039,20,1,1,1,5,0,35,0,0,-999,21.8442,50,0,32,285,214420,9,24.25,96.7556,-999,-999,-999,-999
8888_0208_0028_0_1_1, ,-999,-999,3,20240203,041202,8888,0208,0028,1,1,2,0,0,35,0,0,-999,21.8442,50,-999,0,-999,,9,-999,96.7556,-999,-999,-999,-999
8888_0208_0028_0_2_1, ,-999,-999,3,20240203,041625,8888,0208,0028,2,1,2,0,0,35,0,0,-999,21.8442,50,-999,164,-999,,9,-999,96.7556,-999,-999,-999,-999
8888_0208_0028_0_3_1, ,-999,-999,3,20240203,044457,8888,0208,0028,3,1,2,0,0,35,0,0,-999,21.8442,50,0,66,287,223962,9,24.48,96.7556,24.89,-999,-999,-999
8888_0208_0028_0_3_2, ,-999,-999,3,20240203,051147,8888,0208,0028,3,2,2,0,0,35,0,0,-999,21.8442,50,0,96,292,223881,9,24.74,96.7556,24.99,-999,-999,-999
9999_20240203_1_0_1_1, ,-999,-999,1,20240203,052625,9999,20240203,1,1,1,5,0,0,35,0,0,-999,21.8442,200,0,102,212,237171,10,24.45,96.7556,-999,-999,-999,-999
9999_20240203_1_0_1_2, ,-999,-999,1,20240203,053827,9999,20240203,1,1,2,5,0,0,35,0,0,-999,21.8442,200,0,74,226,237332,10,24.39,96.7556,-999,-999,-999,-999
